id;x_wgs;y_wgs
5836873;24.633771692614214;60.335542135856
5836890;24.710685908961658;60.33688891953224
5836891;24.71521050267259;60.336966757540985
5836893;24.72425976512272;60.337121972004304
5836894;24.728784433763288;60.33719934845551
5836903;24.769507565114345;60.337888812801566
5836908;24.792132384465337;60.33826646314755
5836910;24.80118248186157;60.33841644614417
5836911;24.80570756671712;60.338491206819846
5836912;24.81023267561185;60.33856581361165
5836914;24.81928296532132;60.33871456553704
5836918;24.83738383103854;60.339010222709874
5836919;24.841909106825398;60.33908375226917
5836920;24.846434406256527;60.33915712793166
5836921;24.85095972928259;60.3392303496958
5836922;24.855485075854197;60.33930341756001
5836923;24.860010445922025;60.33937633152268
5836935;24.91431670146619;60.3402392941822
5836936;24.91884237249119;60.34031020728211
5836937;24.923368066321068;60.34038096645863
5836940;24.936945284145906;60.34059232043252
5836970;25.072728432881636;60.34262965838488
5836971;25.07725487267842;60.342695183274124
5836972;25.08178133355046;60.3427605541882
5836973;25.086307815448276;60.34282577112568
5836974;25.09083431832243;60.34289083408517
5836975;25.09536084212348;60.34295574306525
5836976;25.099887386801985;60.34302049806449
5836977;25.104413952308455;60.343085099081506
5836978;25.108940538593494;60.343149546114915
5836980;25.11799377330139;60.34327797822521
5836981;25.12252042162533;60.343341963299316
5836982;25.127047090530006;60.34340579438423
5836983;25.131573779965933;60.343469471478556
5836984;25.136100489883663;60.34353299458086
5836985;25.14062722023374;60.343596363689834
5836986;25.145153970966696;60.34365957880407
5836987;25.149680742033055;60.34372263992222
5838751;24.60679156557912;60.33281344358364
5838758;24.638457975856422;60.33337979492918
5838774;24.710843072908308;60.334646010707665
5838777;24.72441599917576;60.33487904207219
5838783;24.751562523262788;60.33534095106814
5838785;24.760611562156928;60.33549368994868
5838786;24.765136118419278;60.33556982860933
5838791;24.787759265910736;60.335948214050426
5838799;24.823957559348585;60.336545629770306
5838802;24.837532314044914;60.336767121748146
5838807;24.860157378313904;60.33713319739812
5838808;24.864682461689785;60.33720595086682
5838810;24.873732698568723;60.337350996130304
5838820;24.918985272671954;60.338066988561906
5838821;24.923510656295516;60.33813774132846
5838823;24.932561491744316;60.33827878512703
5838824;24.937086943470806;60.33834907615598
5838854;25.072860783243296;60.34038622953494
5838855;25.077386912665983;60.34045174848755
5838856;25.08191306315919;60.34051711347891
5838857;25.086439234673435;60.34058232450761
5838858;25.090965427159293;60.34064738157223
5838859;25.095491640567356;60.34071228467139
5838860;25.10001787484816;60.34077703380364
5838861;25.10454412995228;60.340841628967596
5838862;25.10907040583026;60.340906070161864
5838863;25.11359670243268;60.340970357385004
5838864;25.118123019710072;60.34103449063564
5838866;25.127175716092037;60.34116229521388
5838867;25.13170209509772;60.341225966538694
5838868;25.13622849458058;60.34128948388546
5838869;25.140754914491207;60.3413528472528
5838870;25.14528135478011;60.34141605663933
5838871;25.149807815397846;60.341479112043686
5840634;24.61147921570373;60.33065206107537
5840638;24.62957301630836;60.33097596869329
5840639;24.634096531459978;60.33105656112617
5840640;24.63862007251327;60.331136999766905
5840642;24.647667232127755;60.33129741566504
5840659;24.724572208307205;60.33263611113499
5840660;24.72909625704554;60.33271347357106
5840661;24.73362033065058;60.33279068217908
5840669;24.769813808776014;60.33340281303225
5840671;24.778862423522938;60.33355430734832
5840672;24.783386767407496;60.333629823737716
